名前,かな,緯度,経度,標高
湯ノ丸山,ゆのまるやま,36.43472222222222,138.4011111111111,2101
篭ノ登山<東篭ノ登山>,かごのとやま<ひがしかごのとやま>,36.419444444444444,138.44722222222222,2228
浅間山,あさまやま,36.406666666666666,138.52305555555557,2568
浅間隠山,あさまかくしやま,36.453611111111115,138.6525,1757
鼻曲山,はなまがりやま,36.41083333333333,138.64555555555555,1655
榛名山<掃部ヶ岳>,はるなさん<かもんがたけ>,36.4775,138.85083333333333,1449
子持山,こもちやま,36.591944444444444,138.99777777777777,1296
妙義山<相馬岳>,みょうぎさん<そうまだけ>,36.29861111111111,138.74888888888887,1104
荒船山,あらふねやま,36.20388888888889,138.63722222222222,1423
赤久縄山,あかぐなやま,36.14361111111111,138.84333333333333,1523
御荷鉾山<西御荷鉾山>,みかぼやま<にしみかぼやま>,36.15222222222222,138.91833333333332,1287
二子山,ふたごやま,36.069722222222225,138.8636111111111,1166
両神山,りょうかみさん,36.02333333333333,138.8413888888889,1723
御座山,おぐらさん,36.03388888888889,138.60666666666665,2112
三宝山,さんぽうやま,35.9175,138.7277777777778,2483
甲武信ヶ岳,こぶしがたけ,35.90888888888889,138.7288888888889,2475
横尾山,よこおやま,35.91888888888889,138.5211111111111,1818
瑞牆山,みずがきやま,35.89333333333333,138.59194444444447,2230
金峰山,きんぷさん,35.87138888888889,138.6252777777778,2599
朝日岳,あさひだけ,35.87444444444444,138.64249999999998,2579
国師ヶ岳,こくしがたけ,35.87083333333334,138.67305555555555,2592
北奥千丈岳,きたおくせんじょうだけ,35.868611111111115,138.67083333333332,2601
乾徳山,けんとくさん,35.823055555555555,138.71499999999997,2031
小楢山,こならやま,35.781666666666666,138.66416666666666,1713
茅ヶ岳,かやがたけ,35.794999999999995,138.51388888888889,1704
堂平山,どうだいらさん,36.005833333333335,139.19,876
武甲山,ぶこうさん,35.95166666666667,139.0977777777778,1304
伊豆ヶ岳,いずがたけ,35.926944444444445,139.16055555555556,851
川乗山,かわのりやま,35.850833333333334,139.10694444444445,1363
酉谷山,とりだにやま,35.89722222222222,139.0102777777778,1718
雲取山,くもとりやま,35.855555555555554,138.9438888888889,2017
白石山,はくせきさん,35.89944444444444,138.87805555555556,2036
唐松尾山,からまつおやま,35.867777777777775,138.8452777777778,2109
大洞山,おおぼらやま,35.84,138.89222222222222,2077
鶏冠山,けいかんやま,35.78861111111111,138.83583333333334,1716
大菩薩嶺,だいぼさつれい,35.74888888888889,138.84555555555556,2057
小金沢山,こがねざわやま,35.716944444444444,138.85666666666665,2014
雁ケ腹摺山,がんがはらすりやま,35.68694444444444,138.885,1874
権現山,ごんげんやま,35.66777777777777,139.0213888888889,1312
権現山<扇山>,ごんげんやま<おうぎやま>,35.63722222222222,139.01388888888889,1138
三頭山,みとうさん,35.73916666666667,139.01388888888889,1531
大岳山,おおだけさん,35.765277777777776,139.1302777777778,1266
陣馬山,じんばさん,35.65222222222222,139.16666666666666,855
高尾山,たかおさん,35.625277777777775,139.2436111111111,599
清澄山<妙見山>,きよすみやま<みょうけんやま>,35.1625,140.15222222222224,377
鹿野山,かのうざん,35.25555555555555,139.97166666666666,379
鋸山,のこぎりやま,35.16027777777778,139.84083333333334,329
富山,とみさん,35.098888888888894,139.8813888888889,349
伊予ヶ岳,いよがたけ,35.10722222222223,139.9138888888889,336
愛宕山,あたごやま,35.115,139.98694444444442,408
大山,おおやま,34.96416666666667,139.7777777777778,193
大楠山,おおぐすやま,35.25,139.62805555555556,241
大山,おおやま,35.44083333333333,139.2313888888889,1252
丹沢山<蛭ヶ岳>,たんざわさん<ひるがたけ>,35.48638888888889,139.13888888888889,1673
丹沢山,たんざわさん,35.47416666666667,139.1627777777778,1567
丹沢山<塔ノ岳,たんざわさん<とうのだけ,35.45416666666667,139.16333333333333,1491
大室山,おおむろやま,35.51083333333333,139.0686111111111,1587
御正体山,みしょうたいやま,35.48694444444445,138.93166666666664,1681
菰釣山,こもつるしやま,35.46388888888889,138.97861111111112,1379
三ッ峠山,みつとうげやま,35.549166666666665,138.80916666666667,1785
黒岳,くろたけ,35.551944444444445,138.74944444444444,1793
黒岳<釈迦ヶ岳>,くろたけ<しゃかがたけ>,35.56305555555555,138.72027777777777,1641
節刀ヶ岳,せっとうがたけ,35.52861111111111,138.68333333333334,1736
富士山<剣ヶ峯>,ふじさん<けんがみね>,35.36083333333333,138.7275,3776
愛鷹山<越前岳>,あしたかやま<えちぜんだけ>,35.238055555555555,138.7938888888889,1504
毛無山,けなしやま,35.41583333333333,138.5438888888889,1964
天子ヶ岳,てんしがたけ,35.32916666666667,138.53666666666666,1330
箱根山<神山>,はこねやま<かみやま>,35.233333333333334,139.02083333333334,1438
箱根山<金時山>,はこねやま<きんときざん>,35.28972222222222,139.005,1212
玄岳,くろたけ,35.08166666666667,139.02805555555557,798
大室山,おおむろやま,34.903055555555554,139.09472222222223,580
天城山<万三郎岳>,あまぎさん<ばんざぶろうだけ>,34.86277777777778,139.00166666666667,1406
達磨山,だるまやま,34.955000000000005,138.83916666666667,982
長九郎山,ちょうくろうやま,34.788333333333334,138.86805555555557,996
三原山<三原新山>,みはらやま<みはらしんざん>,34.724444444444444,139.39444444444445,758
宮塚山,みやつかやま,34.52027777777778,139.27916666666667,508
天上山,てんじょうさん,34.21944444444445,139.15305555555557,572
雄山,おやま,34.093611111111116,139.52611111111113,775
